,index,homeTeam,awayTeam,score,date
0,0,Arsenal,Leicester,4-3,F-11/08 20:45
1,1,Brighton,M. City,0-2,S-12/08 18:30
2,2,Chelsea,Burnley,2-3,S-12/08 16:00
3,3,Crystal Palace,Huddersfield Town,0-3,S-12/08 16:00
4,4,Everton,Stoke City,1-0,S-12/08 16:00
5,5,Southampton,Swansea City,0-0,S-12/08 16:00
6,6,Watford,Liverpool,3-3,S-12/08 13:30
7,7,WBA,Bournemouth,1-0,S-12/08 16:00
8,8,M. United,West Ham,4-0,SN-13/08 17:00
9,9,Newcastle,Tottenham,0-2,SN-13/08 14:30
10,0,Bournemouth,Watford,0-2,S-19/08 16:00
11,1,Burnley,WBA,0-1,S-19/08 16:00
12,2,Leicester,Brighton,2-0,S-19/08 16:00
13,3,Liverpool,Crystal Palace,1-0,S-19/08 16:00
14,4,Southampton,West Ham,3-2,S-19/08 16:00
15,5,Stoke City,Arsenal,1-0,S-19/08 18:30
16,6,Swansea City,M. United,0-4,S-19/08 13:30
17,7,Huddersfield Town,Newcastle,1-0,SN-20/08 14:30
18,8,Tottenham,Chelsea,1-2,SN-20/08 17:00
19,9,M. City,Everton,1-1,M-21/08 21:00
20,0,Bournemouth,M. City,1-2,S-26/08 13:30
21,1,Crystal Palace,Swansea City,0-2,S-26/08 16:00
22,2,Huddersfield Town,Southampton,0-0,S-26/08 16:00
23,3,M. United,Leicester,2-0,S-26/08 18:30
24,4,Newcastle,West Ham,3-0,S-26/08 16:00
25,5,Watford,Brighton,0-0,S-26/08 16:00
26,6,Chelsea,Everton,2-0,SN-27/08 14:30
27,7,Liverpool,Arsenal,4-0,SN-27/08 17:00
28,8,Tottenham,Burnley,1-1,SN-27/08 17:00
29,9,WBA,Stoke City,1-1,SN-27/08 14:30
30,0,Arsenal,Bournemouth,3-0,S-09/09 16:00
31,1,Brighton,WBA,3-1,S-09/09 16:00
32,2,Everton,Tottenham,0-3,S-09/09 16:00
33,3,Leicester,Chelsea,1-2,S-09/09 16:00
34,4,M. City,Liverpool,5-0,S-09/09 13:30
35,5,Southampton,Watford,0-2,S-09/09 16:00
36,6,Stoke City,M. United,2-2,S-09/09 18:30
