,homeTeam,awayTeam,homeScore,awayScore,gameData,gameTime
0,Arsenal,Leicester,4,3,11/08,20:45
1,Brighton,M. City,0,2,12/08,18:30
2,Chelsea,Burnley,2,3,12/08,16:00
3,Crystal Palace,Huddersfield Town,0,3,12/08,16:00
4,Everton,Stoke City,1,0,12/08,16:00
5,Southampton,Swansea City,0,0,12/08,16:00
6,Watford,Liverpool,3,3,12/08,13:30
7,WBA,Bournemouth,1,0,12/08,16:00
8,M. United,West Ham,4,0,13/08,17:00
9,Newcastle,Tottenham,0,2,13/08,14:30
10,Bournemouth,Watford,0,2,19/08,16:00
11,Burnley,WBA,0,1,19/08,16:00
12,Leicester,Brighton,2,0,19/08,16:00
13,Liverpool,Crystal Palace,1,0,19/08,16:00
14,Southampton,West Ham,3,2,19/08,16:00
15,Stoke City,Arsenal,1,0,19/08,18:30
16,Swansea City,M. United,0,4,19/08,13:30
17,Huddersfield Town,Newcastle,1,0,20/08,14:30
18,Tottenham,Chelsea,1,2,20/08,17:00
19,M. City,Everton,1,1,21/08,21:00
20,Bournemouth,M. City,1,2,26/08,13:30
21,Crystal Palace,Swansea City,0,2,26/08,16:00
22,Huddersfield Town,Southampton,0,0,26/08,16:00
23,M. United,Leicester,2,0,26/08,18:30
24,Newcastle,West Ham,3,0,26/08,16:00
25,Watford,Brighton,0,0,26/08,16:00
26,Chelsea,Everton,2,0,27/08,14:30
27,Liverpool,Arsenal,4,0,27/08,17:00
28,Tottenham,Burnley,1,1,27/08,17:00
29,WBA,Stoke City,1,1,27/08,14:30
30,Arsenal,Bournemouth,3,0,09/09,16:00
31,Brighton,WBA,3,1,09/09,16:00
32,Everton,Tottenham,0,3,09/09,16:00
33,Leicester,Chelsea,1,2,09/09,16:00
34,M. City,Liverpool,5,0,09/09,13:30
35,Southampton,Watford,0,2,09/09,16:00
36,Stoke City,M. United,2,2,09/09,18:30
37,Burnley,Crystal Palace,1,0,10/09,14:30
38,Swansea City,Newcastle,0,1,10/09,17:00
39,West Ham,Huddersfield Town,2,0,11/09,21:00
40,Bournemouth,Brighton,2,1,15/09,21:00
41,Crystal Palace,Southampton,0,1,16/09,13:30
42,Huddersfield Town,Leicester,1,1,16/09,16:00
43,Liverpool,Burnley,1,1,16/09,16:00
44,Newcastle,Stoke City,2,1,16/09,16:00
45,Tottenham,Swansea City,0,0,16/09,18:30
46,Watford,M. City,0,6,16/09,16:00
47,WBA,West Ham,0,0,16/09,16:00
48,Chelsea,Arsenal,0,0,17/09,14:30
49,M. United,Everton,4,0,17/09,17:00
50,Burnley,Huddersfield Town,0,0,23/09,16:00
51,Everton,Bournemouth,2,1,23/09,16:00
52,Leicester,Liverpool,2,3,23/09,18:30
53,M. City,Crystal Palace,5,0,23/09,16:00
54,Southampton,M. United,0,1,23/09,16:00
55,Stoke City,Chelsea,0,4,23/09,16:00
56,Swansea City,Watford,1,2,23/09,16:00
57,West Ham,Tottenham,2,3,23/09,13:30
58,Brighton,Newcastle,1,0,24/09,17:00
59,Arsenal,WBA,2,0,25/09,21:00
60,Bournemouth,Leicester,0,0,30/09,16:00
61,Chelsea,M. City,0,1,30/09,18:30
62,Huddersfield Town,Tottenham,0,4,30/09,13:30
63,M. United,Crystal Palace,4,0,30/09,16:00
64,Stoke City,Southampton,2,1,30/09,16:00
65,WBA,Watford,2,2,30/09,16:00
66,West Ham,Swansea City,1,0,30/09,16:00
67,Arsenal,Brighton,2,0,01/10,13:00
68,Everton,Burnley,0,1,01/10,15:15
69,Newcastle,Liverpool,1,1,01/10,17:30
70,Burnley,West Ham,1,1,14/10,16:00
71,Crystal Palace,Chelsea,2,1,14/10,16:00
72,Liverpool,M. United,0,0,14/10,13:30
73,M. City,Stoke City,7,2,14/10,16:00
74,Swansea City,Huddersfield Town,2,0,14/10,16:00
75,Tottenham,Bournemouth,1,0,14/10,16:00
76,Watford,Arsenal,2,1,14/10,18:30
77,Brighton,Everton,1,1,15/10,14:30
78,Southampton,Newcastle,2,2,15/10,17:00
79,Leicester,WBA,1,1,16/10,21:00
80,West Ham,Brighton,0,3,20/10,21:00
81,Chelsea,Watford,4,2,21/10,13:30
82,Huddersfield Town,M. United,2,1,21/10,16:00
83,M. City,Burnley,3,0,21/10,16:00
84,Newcastle,Crystal Palace,1,0,21/10,16:00
85,Southampton,WBA,1,0,21/10,18:30
86,Stoke City,Bournemouth,1,2,21/10,16:00
87,Swansea City,Leicester,1,2,21/10,16:00
88,Everton,Arsenal,2,5,22/10,14:30
89,Tottenham,Liverpool,4,1,22/10,17:00
90,Arsenal,Swansea City,2,1,28/10,16:00
91,Bournemouth,Chelsea,0,1,28/10,18:30
92,Crystal Palace,West Ham,2,2,28/10,16:00
93,Liverpool,Huddersfield Town,3,0,28/10,16:00
94,M. United,Tottenham,1,0,28/10,13:30
95,Watford,Stoke City,0,1,28/10,16:00
96,WBA,M. City,2,3,28/10,16:00
97,Brighton,Southampton,1,1,29/10,14:30
98,Leicester,Everton,2,0,29/10,17:00
99,Burnley,Newcastle,1,0,30/10,21:00
100,Huddersfield Town,WBA,1,0,04/11,16:00
